event_id;event_name;event_description;event_date;event_hour
bb4b9d3a-edf0-4b69-9b53-9c1eb854341c;Flexso Student Night;Op woensdag 12 maart, ontdek je alles over werken bij Flexso op de Flexso Student Night! 🚀  We verwelkomen je after hours op ons gezellige hoofdkantoor voor een exclusieve avond vol informatie, spel, lekker eten en netwerkmomenten met IT professionals van Flexso.  Heb je een duidelijke voorliefde voor bedrijfsprocessen zoals finance, logistiek, supply chain of HR? Of ligt jouw hart meer bij de technologie en het programmeren en werken met data en analyses? In beide gevallen zit je helemaal goed! Op 12 maart laten we je zien dat de consultancy-wereld een enorme waaier aan mogelijkheden- en kennisdomeinen biedt, waar ook jij ongetwijfeld jouw talenten en interesses in kwijt kan.  Kom kennismaken met Flexso en beleef een super leuke en interessante avond bij het coolste IT-bedrijf van België! 🥳;2025-03-12;17:00:00
10fe9129-9fd1-4682-85dd-f537713bded2;FD weekend Aken;In het weekend van 17-18 mei gaat het team Flexso op weekend naar Aken!;2025-05-17;09:00:00
